#HyperedgeIdentifier	NumBVisit	BVisitNodes	TraversedHedges	RestrictiveHedges
http://identifiers.org/reactome/R-HSA-8866405	2	http://pathwaycommons.org/pc2/Protein_69840a159e8c700609f1a6a135598979;http://pathwaycommons.org/pc2/Protein_90a5fbfb2a11bb3a08d568818e908060	http://identifiers.org/reactome/R-HSA-111746	http://identifiers.org/reactome/R-HSA-8866405;http://identifiers.org/reactome/R-HSA-111742
http://identifiers.org/reactome/R-HSA-3222072	4	http://pathwaycommons.org/pc2/Protein_dee6980b26123a7102ade3e6920a18b9;http://pathwaycommons.org/pc2/Complex_726cbd4c288712d7830942ae772ff78b;http://pathwaycommons.org/pc2/Complex_0b415642c6cdfb5ebf521407290d1535;http://pathwaycommons.org/pc2/Protein_9552ffa15ca32087f92630737ae746db	http://identifiers.org/reactome/R-HSA-3215295	http://identifiers.org/reactome/R-HSA-6807118;http://identifiers.org/reactome/R-HSA-3215310;http://identifiers.org/reactome/R-HSA-3222072
http://identifiers.org/reactome/R-HSA-163602	2	http://pathwaycommons.org/pc2/Complex_27814eedd23146fca25823e4190da869;http://pathwaycommons.org/pc2/Complex_694de8f8f543914c20ecd7c1652dab8e	http://identifiers.org/reactome/R-HSA-163554	http://identifiers.org/reactome/R-HSA-163549
http://identifiers.org/reactome/R-HSA-163489	1	http://pathwaycommons.org/pc2/Protein_d96637e0a6d8d8b5e3ec5820af617bd5		http://identifiers.org/reactome/R-HSA-163416
http://identifiers.org/reactome/R-HSA-1236947	1	http://pathwaycommons.org/pc2/PhysicalEntity_43c0fdb31bbee7cffcbfddd4e1eb26ab		
http://identifiers.org/reactome/R-HSA-1222655	2	http://pathwaycommons.org/pc2/Protein_6c64509898ddb42e98a8a6463390c578;http://pathwaycommons.org/pc2/Protein_3a337cc854433754e1aa43d5c11bf108		http://identifiers.org/reactome/R-HSA-1222526;http://identifiers.org/reactome/R-HSA-1222690;http://identifiers.org/reactome/R-HSA-1222431
http://identifiers.org/reactome/R-HSA-8849157	1	http://pathwaycommons.org/pc2/Complex_24e3a58e6e238b89339b5085ca1869e7		http://identifiers.org/reactome/R-HSA-72180
http://identifiers.org/reactome/R-HSA-110317	2	http://pathwaycommons.org/pc2/Complex_c0044ffb7b016a1d6ee50b3eb17faccb;http://pathwaycommons.org/pc2/Complex_3ade68ec41f9e376c48f2dca168d248a	http://identifiers.org/reactome/R-HSA-110319	http://identifiers.org/reactome/R-HSA-5654986
http://identifiers.org/reactome/R-HSA-1592297	1	http://pathwaycommons.org/pc2/Protein_c80d83737988bcee889de7e3f99482a9		http://identifiers.org/reactome/R-HSA-1564169;http://identifiers.org/reactome/R-HSA-375135
http://identifiers.org/reactome/R-HSA-4641256	1	http://pathwaycommons.org/pc2/Protein_3d9c79a018d9c56d6a715d974f5716a9		http://identifiers.org/reactome/R-HSA-4641134;http://identifiers.org/reactome/R-HSA-2176445
http://identifiers.org/reactome/R-HSA-9023178	2	http://pathwaycommons.org/pc2/Protein_de633160958a8a0ad08ec7dc5e08bb39;http://pathwaycommons.org/pc2/Complex_c2efdb75c1bf0f09b29919de72eb501a		http://identifiers.org/reactome/R-HSA-9023159;http://identifiers.org/reactome/R-HSA-9023171;http://identifiers.org/reactome/R-HSA-265160
http://identifiers.org/reactome/R-HSA-3149434	1	http://pathwaycommons.org/pc2/Complex_0afd534d5035ae89a7023d63cd9bc657		http://identifiers.org/reactome/R-HSA-3149454
http://identifiers.org/reactome/R-HSA-5629237	5	http://pathwaycommons.org/pc2/Complex_249af21b6d61d123930c50a0b5d07b03;http://pathwaycommons.org/pc2/Protein_eaa08e9e7574a74114c35fe9e18969c7;http://pathwaycommons.org/pc2/Protein_5ea7d5db3f12c6aa4eb15e33bd441b33;http://pathwaycommons.org/pc2/Complex_54075f7c5602154d8d684f7b908d82d7;http://pathwaycommons.org/pc2/Protein_28379f39b4e4dc31b52332918df605bc	http://identifiers.org/reactome/R-HSA-5601897	
http://identifiers.org/reactome/R-HSA-5684273	2	http://pathwaycommons.org/pc2/Protein_cb3461625d5ec5f2a1e35d06aa017381;http://pathwaycommons.org/pc2/Protein_69fc63b5e23dcfee176c4d42f7abdbc5		http://identifiers.org/reactome/R-HSA-451649;http://identifiers.org/reactome/R-HSA-451634
