#Name	NumConnected
ARHGAP28	8515
HHAT	8515
DDIT4	8514
SLCO4C1	0
DNAJC11	8514
COL19A1	8514
PCGF2	8514
MYSM1	8514
MLYCD	8514
BMP4	8514
BMP2	8514
BMP1	8520
GPR4	8514
DR1	8514
FEM1B	8514
OR5R1	8514
ASF1A	8514
TERF2	8514
TERF1	8514
FOXM1	8514
DNAJC19	8514
PTPMT1	8514
NHP2	8514
RSAD2	8514
CHD1	8514
NFS1	8514
CHD3	8514
EPHB6	8514
CHD4	8514
CHD9	8514
CHD8	8514
IGLV1-51	8514
CAP1	8514
CAP2	8514
NPC2	0
NPC1	0
SKIV2L	8514
TTC5	8514
RAB3GAP2	8514
IL4R	8514
PIKFYVE	8514
ATP10D	0
TTC8	8514
DAG1	8514
DYNC1LI2	8514
CHDH	2
TPRKB	8518
STC2	8514
ETHE1	8515
PRDM16	8514
ABCG1	8515
ABCG2	0
ABCG4	8515
ABCG5	2
ABCG8	2
HNF4G	8514
AVP	8514
MPI	8514
PXDN	0
POLRMT	8514
MCPH1	8514
KDM1A	8514
GRPEL2	8514
PLRG1	8514
SLC36A2	0
OR1S1	8514
OR1S2	8514
GADL1	0
FCER1G	8514
AKR1B10	2
FCER1A	8514
BTG2	8514
AKR1B15	0
SRD5A3	8514
SRD5A2	0
SRD5A1	0
METAP2	8515
ZFP36L1	8514
GGA1	8514
GGA3	8514
GGA2	8514
ADH7	8515
ADH6	8515
ADH5	0
ADH4	8515
PKD2	8514
PKD1	8514
GJC1	2
ZNF138	8514
PRKACG	8514
SQOR	0
PRKACA	8514
PSMB9	8514
PRKACB	8514
PSMB7	8514
PSMB6	8514
PSMB5	8514
PSMB4	8514
PSMB3	8514
PSMB2	8514
PSMB1	8514
SPG7	8514
PPARGC1B	8514
OR9A1P	8514
TDGF1	8514
RMI1	8514
RMI2	8514
MBL2	8514
KCNK9	8514
KCNK4	8514
KCNK5	8514
KCNK6	8514
KCNK7	8514
MLH3	8514
CRY1	8514
CRY2	8514
KCNK3	8514
GLTP	0
ACOT11	8515
ACOT12	8515
ACOT13	8515
SH3KBP1	8514
BEX3	8514
NUP160	8514
CRYM	8515
OR5AL1	8514
NICN1	5
COL14A1	8514
BBC3	8514
OR4X1	8514
GRIN2B	8514
GRIN2C	8514
GNA14	8514
GNA15	8514
GNA12	8514
GNA13	8514
GRIN2D	8514
GNA11	8514
SH2B2	8514
PRKAR1A	8514
TAP1	8514
TAP2	8514
MFGE8	8514
IL6ST	8514
SBF1	8514
SBF2	8514
PDE5A	8514
OGDH	8514
ACTG2	8514
CDC73	8514
SEMG1	8514
LMBRD1	8517
TAS2R19	8514
TAS2R14	8514
TAS2R16	8514
TAS2R10	8514
BCAT2	8514
BCAT1	8514
TAS2R13	8514
AKAP5	8514
DBNL	8514
AKAP1	8514
GTF2F2	8514
PIPOX	8514
AKAP9	8514
CYP26A1	2
PSTK	0
ODF2	8514
HSP90B1	8514
KRR1	8514
TMEM132A	8514
OVGP1	8514
F12	8514
CETN2	8514
CCL28	8514
DIO1	8515
DIO2	8515
DIO3	8515
CCL21	8514
CCL20	8514
CCL23	8514
CCL22	0
CCL25	8514
CCL27	8514
MAU2	8514
