#Entity	NumDownstream
http://pathwaycommons.org/pc2/Complex_89b1f2f39cfe4127d010ec5cf900a4f8	21126
http://pathwaycommons.org/pc2/Protein_e364226fc0b7bd313764128b02468517	23311
http://pathwaycommons.org/pc2/Protein_172f01eb4b979be6b1d1e3c341864f23	5
http://pathwaycommons.org/pc2/Complex_2ff826b9bdf45dfc890980052a6666fd	9308
http://pathwaycommons.org/pc2/Protein_ef45925c6ce44d7eb18c483cc20ee78a	23219
http://pathwaycommons.org/pc2/SmallMolecule_0977050bdbbdf4faebf18cc3be661fa0	15
http://pathwaycommons.org/pc2/Protein_88280af652aa1dd6dd959e8ba7c1d113	23204
http://pathwaycommons.org/pc2/Complex_c9301fbb129304744b4906c5ef43d3f6	12
http://pathwaycommons.org/pc2/Complex_990b446713b9aae44e79328554d31a7e	3
http://pathwaycommons.org/pc2/Protein_c455368097dff66ec48231359772288a	4
http://pathwaycommons.org/pc2/Complex_1a98ac551bb8e007e9ca3761682842de	1
http://pathwaycommons.org/pc2/Complex_9859d8cc0e8ac6e3ce106baa840e2e9d	6
http://pathwaycommons.org/pc2/SmallMolecule_ce65ff5abc78a5f657bb120d9bb93f84	0
http://pathwaycommons.org/pc2/Complex_aa4c924d7774b055cfb515e4ea08833e	1
http://pathwaycommons.org/pc2/Protein_66ce78483f0735750b911f70d15e6735	3
http://pathwaycommons.org/pc2/Complex_fd41ad9ca55f9f0ed901fed638327318	14064
http://pathwaycommons.org/pc2/Complex_7427c93891f4afd2bb317e54ad989b8f	1
http://pathwaycommons.org/pc2/Dna_550d5df73f99976d891a684035f4661e	16120
http://pathwaycommons.org/pc2/Complex_2e476c3ccab51de0f060ac094ab36c84	3
http://pathwaycommons.org/pc2/Protein_bfc1b22279b25295da1d46873d4c46be	17
http://pathwaycommons.org/pc2/Protein_e247bb9b74a65b42221227b5dfc50b71	20085
http://pathwaycommons.org/pc2/SmallMolecule_7717dcb6f7845c02f87e9a0ece0e3a18	22264
http://pathwaycommons.org/pc2/Protein_3bed4f4ef75d0b854308b1e4da4bdc17	22570
http://pathwaycommons.org/pc2/Protein_38ba80c22f6865eeab7bfa41c48fcdbb	23211
http://pathwaycommons.org/pc2/Protein_2ce656c9ce23f76941186091a80aa6b6	22708
http://pathwaycommons.org/pc2/Protein_1195fa09d23e19b21af8ac947c9d63ab	22267
http://pathwaycommons.org/pc2/Protein_55800ab70287cb54c028b1a7779207e8	21975
http://pathwaycommons.org/pc2/Complex_358977e22323e69659cf260e001822ac	23201
http://pathwaycommons.org/pc2/Protein_478700cc5d4dd69cd137908dc9a39d79	23313
http://pathwaycommons.org/pc2/PhysicalEntity_ceabe5438d14eb09b6749130392bfc5a	23237
http://pathwaycommons.org/pc2/Protein_15f2648066786738701d82093f58e8a1	3
http://pathwaycommons.org/pc2/Complex_22122f20f139108552162841fcbfffce	6
http://pathwaycommons.org/pc2/Complex_ed7eed3267c97e218e2cf64ca0958b5a	17623
http://pathwaycommons.org/pc2/SmallMolecule_77e3146e34cab81bd92a77fadd979729	21399
http://pathwaycommons.org/pc2/Complex_030123fc82e403ca421bfe99907c62a7	2
http://pathwaycommons.org/pc2/Protein_4ac35f1b5a28c097cbe8dc386ab11289	9
http://pathwaycommons.org/pc2/Complex_fc122a11e138a7f542c9c09ac14f2e63	22498
http://pathwaycommons.org/pc2/Complex_a83d168942156f2b027a2a811724cc05	18481
http://pathwaycommons.org/pc2/Protein_00a636101e2e126295aece1da5b5a9ae	23121
http://pathwaycommons.org/pc2/Protein_897eeda85f02ec0aea06f9e756f1a48e	19921
http://pathwaycommons.org/pc2/Complex_06f75004bb91c56614eaa1cade5a52d7	1
http://pathwaycommons.org/pc2/Protein_d6cc807c3da2798bd950fd09144fd74f	14
http://pathwaycommons.org/pc2/SmallMolecule_e5bd531289a06015de88b7f077797052	0
http://pathwaycommons.org/pc2/Protein_53120e6d2c41b8cec14286f5d379d1eb	8
http://pathwaycommons.org/pc2/SmallMolecule_8d26d5e7c58208accb7eee301a4b9aef	23210
http://pathwaycommons.org/pc2/Complex_186c6bc75caa36cfac86bfb2db0358d7	1
http://pathwaycommons.org/pc2/Dna_bf99d6cbfd6af58664070baff24e2a02	10
http://pathwaycommons.org/pc2/Protein_729e952e8dbf18a3f2cf60a2ecf1769f	3
http://pathwaycommons.org/pc2/Protein_8f402b8ed33ae9c36fae0b4042684392	4
http://pathwaycommons.org/pc2/Complex_f10eb9776618d02ac1aa945ea5d018a0	3
http://pathwaycommons.org/pc2/Protein_8c3233406be5a58580720bd005268e48	61
http://pathwaycommons.org/pc2/Protein_afb6b02f4eec14e41cbe4f2f82c8a035	4
http://pathwaycommons.org/pc2/Protein_3ee48d873f612dbf78518b3881405f48	21583
http://pathwaycommons.org/pc2/Protein_dc03b0424cd0c35d622097edaa2bbd7f	25037
http://pathwaycommons.org/pc2/Complex_b64958f0dbb273402d47efa7a0aeea89	1
http://pathwaycommons.org/pc2/Complex_72261cfa5610fa4d18ac7f55e46efb5f	5
http://pathwaycommons.org/pc2/Complex_1db3a50ed091493098af390cdd705869	19461
http://pathwaycommons.org/pc2/Complex_c1a9cc7642b29f3f95cd2c77e7bd7746	22320
http://pathwaycommons.org/pc2/Complex_52aaffe6d82f7705e0a30086f8549e32	22334
http://pathwaycommons.org/pc2/Protein_59cbec0b2af7f22d40fcc3b416c3c3f9	3
http://pathwaycommons.org/pc2/Protein_08083c143972443a46f5f77f050cbadb	4
http://pathwaycommons.org/pc2/Protein_196f6acb37e5764a4ec42fd30935284b	23223
http://pathwaycommons.org/pc2/Protein_e82d7f9604195971e926df080e6ce1e3	0
http://pathwaycommons.org/pc2/Protein_45972cc80980e0daa4b68bc3669fe757	7
http://pathwaycommons.org/pc2/Complex_0d4854973916090face7072e69e14af2	22367
http://pathwaycommons.org/pc2/Complex_dad5308c49812a795dc3870b109c9b00	1
http://pathwaycommons.org/pc2/Protein_fc4ffd10c16aac9df9967f61bcc41f70	23227
http://pathwaycommons.org/pc2/Protein_267c07913ef9e2c60398764810cc1505	23246
http://pathwaycommons.org/pc2/Protein_790ee0cfa9d455cde6e25a1b2b95b719	23205
http://pathwaycommons.org/pc2/Protein_a9f3deffa02d9816997d7a975149961f	13
http://pathwaycommons.org/pc2/Protein_e7e806a55fef84d7ef691aef86bef5f9	23208
http://pathwaycommons.org/pc2/Protein_0d0bd457c831f6370f074362956414ae	5669
http://pathwaycommons.org/pc2/Protein_0cd73dc96c72b3b5645272cecee38888	23368
http://pathwaycommons.org/pc2/Dna_a89143f2e31b4514cd737dcda3ccf25e	23281
http://pathwaycommons.org/pc2/SmallMolecule_a926d60475a303449d7bcc07185952f9	23210
http://pathwaycommons.org/pc2/Complex_d603a9912e6e83be46a3b2c32313b802	2
http://pathwaycommons.org/pc2/Protein_4198b0c73c192bffb4261daa637eed79	22566
http://pathwaycommons.org/pc2/SmallMolecule_7f11224453527631e466c67f3280da60	22524
http://pathwaycommons.org/pc2/Protein_701b7c58b15061ad6ab5eb6a3d064caa	11
http://pathwaycommons.org/pc2/Protein_6c9c350ffa204ae7a20f205ca2dba93b	23208
http://pathwaycommons.org/pc2/PhysicalEntity_11a5ce33ee38c83210a61c9c5e366363	2
http://pathwaycommons.org/pc2/Protein_f53febe63c3d3d3bfda0107374f919a9	19527
http://pathwaycommons.org/pc2/Protein_23a327af995f0db5984b26c6534d5cbf	4
http://pathwaycommons.org/pc2/Protein_4677beec1d2334ba4dd0b74c8e929d41	21165
http://pathwaycommons.org/pc2/Protein_4b5e449161e1cd55280dc466e32e5760	2
http://pathwaycommons.org/pc2/Protein_5166e633450b9360b40742e2c80959e3	2
http://pathwaycommons.org/pc2/Complex_6fcd817f116d646ad9850d4897092cfa	6189
http://pathwaycommons.org/pc2/Protein_c3af8538745c7ed1138f7e0b5d268a96	24
http://pathwaycommons.org/pc2/Protein_e89055cc7a5f3403f7711f628e4b5832	22465
http://pathwaycommons.org/pc2/Protein_5c801ea2194aafb8aeff5d13bd5a989d	18258
http://pathwaycommons.org/pc2/Complex_ae8e6ebcec248c5afb9da04f9f969503	23205
http://pathwaycommons.org/pc2/Protein_098d0ab2ed334125ebc33c61c0cadd76	3
http://pathwaycommons.org/pc2/Protein_83a1180427e0111b7e1fa0b4aa3bab32	10642
http://pathwaycommons.org/pc2/SmallMolecule_69283a00ab4fd61107dec25669b53a93	19910
http://pathwaycommons.org/pc2/Protein_a99437a9e89ff2365cded851cf291ad6	22729
http://pathwaycommons.org/pc2/Protein_93b2f3a88c5486bc48fccb0fadea5ac4	2
http://pathwaycommons.org/pc2/Protein_2276417966047b1fa535fb9fbdb7a5fe	20712
http://pathwaycommons.org/pc2/PhysicalEntity_2c511c3ed12cfb01071d6e83dbeca950	23385
http://pathwaycommons.org/pc2/Complex_e7dbe0738d5467c0675e44947d2fc9e6	5031
http://pathwaycommons.org/pc2/Complex_f2db32700c75a0ec677af6b02f207a90	10
http://pathwaycommons.org/pc2/Protein_74e772dd5b8f19b68d11b67f689af49d	19963
http://pathwaycommons.org/pc2/SmallMolecule_5499567a7e60dd673ee715f2f2adcb9e	0
http://pathwaycommons.org/pc2/Protein_e5e26d43744aaed1a53ba84f56d9a97d	4
http://pathwaycommons.org/pc2/Protein_40c7d9d046d5a447705f5aa87ce7884a	17873
http://pathwaycommons.org/pc2/Protein_a7f2d8582a7aa1c74f2dbf2aac4b9b56	10463
http://pathwaycommons.org/pc2/Complex_16a8f73bbaccb653440a02bc77061b3e	2
http://pathwaycommons.org/pc2/Protein_57ab8aa5d7c2ee32aa3c4120733e4e7e	3322
http://pathwaycommons.org/pc2/Dna_cbf865f083256d0b86aef27cc780a37a	21773
