#Tail	Head	PosReg	NegReg	ID
http://pathwaycommons.org/pc2/Complex_001c81624ac27a6c6621793b619bad90;http://pathwaycommons.org/pc2/Protein_ac042dc89b6dd6860be0913c525505d8	http://pathwaycommons.org/pc2/Complex_938e544b35c2162189db6b533d63cd43	None	None	http://identifiers.org/reactome/R-HSA-5682992
http://pathwaycommons.org/pc2/Complex_005aaa62a2460a8b18a2b400aa7d2742;http://pathwaycommons.org/pc2/Complex_4697452fe9aaef8a2b7b1ffcb1ca073d;http://pathwaycommons.org/pc2/SmallMolecule_fab9b2c66f16383bcb870291e90bc1dc	http://pathwaycommons.org/pc2/Complex_bec73cc2d24106e3cc52f189657b56d5;http://pathwaycommons.org/pc2/Complex_d6ef9f72f023b408004d14bbcb52fb4f	http://pathwaycommons.org/pc2/Complex_005aaa62a2460a8b18a2b400aa7d2742	None	http://identifiers.org/reactome/R-HSA-156913
http://pathwaycommons.org/pc2/Complex_0076109cdf7a825159e5e5a8dd4daaab;http://pathwaycommons.org/pc2/SmallMolecule_158e38640ab81d87fc93d153348c9239	http://pathwaycommons.org/pc2/Complex_60bf2b678a3b3ceba11d80437e29af5b;http://pathwaycommons.org/pc2/SmallMolecule_087b76827277bf4317d83e28f80e87ce	http://pathwaycommons.org/pc2/Complex_0076109cdf7a825159e5e5a8dd4daaab	None	http://identifiers.org/reactome/R-HSA-3322025
http://pathwaycommons.org/pc2/Complex_0090563ae32520952b45355cd19f5018;http://pathwaycommons.org/pc2/Complex_198edc68c03f5f0bae9be74dd61a38c0	http://pathwaycommons.org/pc2/Complex_0247599631306612483e20bcad350116	None	None	http://identifiers.org/reactome/R-HSA-400682
http://pathwaycommons.org/pc2/Complex_0090563ae32520952b45355cd19f5018;http://pathwaycommons.org/pc2/Complex_1f3f3a144bb23694f08005db27dd217a	http://pathwaycommons.org/pc2/Complex_0aa40979d3bfcd017d63228a9e02d4c5	None	None	http://identifiers.org/reactome/R-HSA-400677
http://pathwaycommons.org/pc2/Complex_00908d34157a067e901c9e6120f4c674;http://pathwaycommons.org/pc2/Protein_0c1258584d31af5496f026cc51633139	http://pathwaycommons.org/pc2/Complex_c5dd9682fecab269ce8309b84fa0b6fb	None	None	http://identifiers.org/reactome/R-HSA-2128994
http://pathwaycommons.org/pc2/Complex_009333dcbd48443097b86e2b2f019988;http://pathwaycommons.org/pc2/SmallMolecule_f867b749a6bbdff3cbe2a0a66f110c3c	http://pathwaycommons.org/pc2/Complex_d3fe5c192b2650298dc318ab7d07d3f9;http://pathwaycommons.org/pc2/SmallMolecule_338b964744318e5ab77644623adb34df	http://pathwaycommons.org/pc2/Complex_009333dcbd48443097b86e2b2f019988	None	http://identifiers.org/reactome/R-HSA-2028284
http://pathwaycommons.org/pc2/Complex_009754dc4445f416d1c6b74861b419b5	http://pathwaycommons.org/pc2/Protein_28392022f4a5905b203b6d062c4c5f2d;http://pathwaycommons.org/pc2/Protein_bb0b9499c14ffdd5973b8b672988e2a2	None	None	http://identifiers.org/reactome/R-HSA-8855375
http://pathwaycommons.org/pc2/Complex_009c8eb10cf3aa00a6621d0f5f9df27b;http://pathwaycommons.org/pc2/SmallMolecule_917e1964f10a1b6ec307edb77cf735e7	http://pathwaycommons.org/pc2/Complex_20c591692d5ebf6b96139b2a0975b2b0;http://pathwaycommons.org/pc2/Complex_7cef5f226d2f61dd13cc02a432ae56be;http://pathwaycommons.org/pc2/Complex_ea8cfdcb46f2510cb8801f52ff2a06d5;http://pathwaycommons.org/pc2/SmallMolecule_343fe2ce5a2b9ccf974c397365394543	http://pathwaycommons.org/pc2/Complex_009c8eb10cf3aa00a6621d0f5f9df27b	None	http://identifiers.org/reactome/R-HSA-5687653
http://pathwaycommons.org/pc2/Complex_00a67133c8f6f0f99e028670f1afba2b;http://pathwaycommons.org/pc2/Complex_044fdf635238471ab152b0837565a18c;http://pathwaycommons.org/pc2/PhysicalEntity_2c0b955e9cb17b2798a9b22311b859d4;http://pathwaycommons.org/pc2/Protein_98eea6f02dc6b25f51a416bd6ef10a58;http://pathwaycommons.org/pc2/Protein_d2c863c41aad8617738852a0ebcc6e3c	http://pathwaycommons.org/pc2/Complex_00a67133c8f6f0f99e028670f1afba2b;http://pathwaycommons.org/pc2/Complex_044fdf635238471ab152b0837565a18c;http://pathwaycommons.org/pc2/PhysicalEntity_2c0b955e9cb17b2798a9b22311b859d4;http://pathwaycommons.org/pc2/Protein_98eea6f02dc6b25f51a416bd6ef10a58;http://pathwaycommons.org/pc2/Protein_d2c863c41aad8617738852a0ebcc6e3c	http://pathwaycommons.org/pc2/PhysicalEntity_2c0b955e9cb17b2798a9b22311b859d4	None	http://identifiers.org/reactome/R-HSA-72697
